record_id,ticker,open_price,close_price,volume,trade_date,ingested_at,is_valid,error_reason
16de4ef1-42f5-4cbe-8177-048acb232c22,AAPL,100.0,101.0,100000,2026-06-25,2026-06-25T15:05:58.877592,True,
e7e9465d-de52-48b0-897d-4b3a5e07b60f,MSFT,110.0,109.0,200000,2026-06-25,2026-06-25T15:05:58.879268,True,
ccb16f1a-da58-4dec-b8ea-1dbaea867cec,AMZN,120.0,121.0,300000,2026-06-25,2026-06-25T15:05:58.879268,True,
ed1ecf5c-9f4f-4f5c-ad3b-130eeeb8adb7,TSLA,130.0,129.0,400000,2026-06-25,2026-06-25T15:05:58.879268,True,
4d9beb26-4c8e-4d07-ac1f-02685c920361,NVDA,140.0,141.0,500000,2026-06-25,2026-06-25T15:05:58.879268,True,
61bb46cb-8486-4ad6-9d7a-e48ad417249b,AAPL,101.0,103.0,101000,2026-06-24,2026-06-25T15:05:58.881755,True,
1a38b227-78e2-4af6-851b-b62a97ff4ecb,MSFT,111.0,109.0,201000,2026-06-24,2026-06-25T15:05:58.881755,True,
2c08b5ff-1d6c-4280-86bf-39bae93f3fc0,AMZN,121.0,123.0,301000,2026-06-24,2026-06-25T15:05:58.881755,True,
b6ab74e2-0906-4317-b128-dd11e054f5e3,TSLA,131.0,129.0,401000,2026-06-24,2026-06-25T15:05:58.881755,True,
0cc0c1fe-46db-4cc5-bc11-e7987d80a608,NVDA,141.0,143.0,501000,2026-06-24,2026-06-25T15:05:58.881755,True,
