record_id,ticker,trade_date,avg_close_price,avg_daily_return_pct,total_volume,bullish_days,bearish_days,source_count,processed_at
5f226e9e-37ec-4a41-8350-f65c9ae8a555,AAPL,2026-06-25,101.0,1.0,100000,1,0,1,2026-06-25T14:58:59.333893
9fe08628-d660-4648-beed-2efaec7c7d68,MSFT,2026-06-25,109.0,-0.9091,200000,0,1,1,2026-06-25T14:58:59.333893
0936a624-2335-4103-bf03-828784380960,AMZN,2026-06-25,121.0,0.8333,300000,1,0,1,2026-06-25T14:58:59.333893
a179724e-e9e3-423e-bc13-a17a909c5e92,TSLA,2026-06-25,129.0,-0.7692,400000,0,1,1,2026-06-25T14:58:59.333893
6b4ee006-426c-4557-8be6-d0c95cb406f4,NVDA,2026-06-25,141.0,0.7143,500000,1,0,1,2026-06-25T14:58:59.333893
c66e8636-0772-4a25-b672-1cb9db899e98,AAPL,2026-06-24,103.0,1.9802,101000,1,0,1,2026-06-25T14:58:59.333893
fcbdfa5c-6ba8-4a23-a279-c0fc36610dfb,MSFT,2026-06-24,109.0,-1.8018,201000,0,1,1,2026-06-25T14:58:59.333893
76f0ba08-0d9b-47b3-a90d-b8226f0dfe3a,AMZN,2026-06-24,123.0,1.6529,301000,1,0,1,2026-06-25T14:58:59.333893
ca914b6b-1e16-4be0-8a9c-e008ab8fa080,TSLA,2026-06-24,129.0,-1.5267,401000,0,1,1,2026-06-25T14:58:59.333893
55aee3c3-170d-4593-a84c-108d40143878,NVDA,2026-06-24,143.0,1.4184,501000,1,0,1,2026-06-25T14:58:59.333893
