record_id,source_record_id,ticker,trade_date,open_price,close_price,volume,daily_return_pct,vwap_estimate,is_bullish,volume_category,processed_at
43f4ce0c-1c32-4ba7-a89e-2cafbf051dd2,43f4ce0c-1c32-4ba7-a89e-2cafbf051dd2,AAPL,2026-06-26,100.0,101.0,100000,1.0,100.5,True,LOW,2026-06-26T08:18:54.727096
476cec76-909e-40a5-92a1-4ca5aa2fd276,476cec76-909e-40a5-92a1-4ca5aa2fd276,MSFT,2026-06-26,110.0,109.0,200000,-0.9091,109.5,False,MEDIUM,2026-06-26T08:18:54.727790
90370907-a711-453b-ad82-627c8134008a,90370907-a711-453b-ad82-627c8134008a,AMZN,2026-06-26,120.0,121.0,300000,0.8333,120.5,True,MEDIUM,2026-06-26T08:18:54.728382
926dfa90-f114-4444-90e1-f97d9ed17196,926dfa90-f114-4444-90e1-f97d9ed17196,TSLA,2026-06-26,130.0,129.0,400000,-0.7692,129.5,False,MEDIUM,2026-06-26T08:18:54.728999
e5a596c9-e20f-4284-87f0-971c4080ae12,e5a596c9-e20f-4284-87f0-971c4080ae12,NVDA,2026-06-26,140.0,141.0,500000,0.7143,140.5,True,MEDIUM,2026-06-26T08:18:54.729857
0ec8e33f-8b36-4262-9275-089cd9d6be56,0ec8e33f-8b36-4262-9275-089cd9d6be56,AAPL,2026-06-25,101.0,103.0,101000,1.9802,102.0,True,LOW,2026-06-26T08:18:54.730683
26d4c0dc-1963-40bc-ae94-48a98b9dde1d,26d4c0dc-1963-40bc-ae94-48a98b9dde1d,MSFT,2026-06-25,111.0,109.0,201000,-1.8018,110.0,False,MEDIUM,2026-06-26T08:18:54.731388
645ea925-6852-4d4b-bd27-ca693555779a,645ea925-6852-4d4b-bd27-ca693555779a,AMZN,2026-06-25,121.0,123.0,301000,1.6529,122.0,True,MEDIUM,2026-06-26T08:18:54.731992
6ab2d461-6f3e-4b46-9650-03238f27b43c,6ab2d461-6f3e-4b46-9650-03238f27b43c,TSLA,2026-06-25,131.0,129.0,401000,-1.5267,130.0,False,MEDIUM,2026-06-26T08:18:54.732575
2a4a2591-eafc-4a92-b40d-91239d5e4d1a,2a4a2591-eafc-4a92-b40d-91239d5e4d1a,NVDA,2026-06-25,141.0,143.0,501000,1.4184,142.0,True,MEDIUM,2026-06-26T08:18:54.733125
